keyword,latest_value,momentum,last_date,trend_direction
AI,100.0,18.33333333333333,2025-12-01 03:00:00,up
Bitcoin,15.0,3.0,2025-12-01 03:00:00,up
Climate Change,1.0,0.0,2025-12-01 03:00:00,flat
