source,published_at,keyword,title,text,url,author,views,likes,comments,cleaned_text
TVmaze,2006-10-12,The Office,Grief Counseling,"Michael organizes grief counseling sessions following the death of his old boss, Ed Truck.",https://www.tvmaze.com/episodes/47671/the-office-3x04-grief-counseling,The Office,,,,
TVmaze,2006-10-19,The Office,Initiation,Dwight initiates Ryan into his new job as a salesmen at Dunder Mifflin; Pam is tasked with keeping track of everything Michael does during the day by Jan.,https://www.tvmaze.com/episodes/47672/the-office-3x05-initiation,The Office,,,,
TVmaze,2006-11-02,The Office,Diwali,Kelly invites the office staff to a Diwali celebration.,https://www.tvmaze.com/episodes/47673/the-office-3x06-diwali,The Office,,,,
TVmaze,2006-11-09,The Office,Branch Closing,Jan gives Michael the news that the Scranton branch is closing.,https://www.tvmaze.com/episodes/47674/the-office-3x07-branch-closing,The Office,,,,
TVmaze,2006-11-16,The Office,The Merger,Jim and other members of the Stamford branch have their first day at Scranton.,https://www.tvmaze.com/episodes/47675/the-office-3x08-the-merger,The Office,,,,
TVmaze,2006-11-30,The Office,The Convict,The office discovers than one of the new Stamford people is a former convict.,https://www.tvmaze.com/episodes/47676/the-office-3x09-the-convict,The Office,,,,
TVmaze,2006-12-14,The Office,A Benihana Christmas (1),Michael gets dumped by Carol; Pam and Karen start a rival party planning committee.,https://www.tvmaze.com/episodes/47677/the-office-3x10-a-benihana-christmas-1,The Office,,,,
TVmaze,2006-12-14,The Office,A Benihana Christmas (2),Michael gets dumped by Carol; Karen and Pam start a rival party planning committee.,https://www.tvmaze.com/episodes/47678/the-office-3x11-a-benihana-christmas-2,The Office,,,,
TVmaze,2007-01-04,The Office,Back from Vacation,Michael returns from his vacation and accidentally sends a picture of Jan sunbathing to everyone in the office.,https://www.tvmaze.com/episodes/47679/the-office-3x12-back-from-vacation,The Office,,,,
TVmaze,2007-01-11,The Office,Traveling Salesmen,Dwight does a favor for Angela that puts him in hot water with Michael; The sales team heads out on partner sales calls.,https://www.tvmaze.com/episodes/47680/the-office-3x13-traveling-salesmen,The Office,,,,
TVmaze,2007-01-18,The Office,The Return,Oscar returns to work; Dwight gets a job at Staples.,https://www.tvmaze.com/episodes/47681/the-office-3x14-the-return,The Office,,,,
TVmaze,2007-02-01,The Office,Ben Franklin,The ladies of the office throw a bridal shower for Phyllis; Michael tries to throw a rival bachelor party for Bob.,https://www.tvmaze.com/episodes/47682/the-office-3x15-ben-franklin,The Office,,,,
TVmaze,2007-02-08,The Office,Phyllis' Wedding,Michael tries to expand his role at Phyllis' wedding; Pam realizes that Phyllis stole all of her ideas from her canceled wedding to Roy.,https://www.tvmaze.com/episodes/47683/the-office-3x16-phyllis-wedding,The Office,,,,
TVmaze,2007-02-15,The Office,Business School,Michael is a guest speaker at Ryan's business school class; A bat gets lose in the office; Pam has an art show that she invites the entire office too.,https://www.tvmaze.com/episodes/47684/the-office-3x17-business-school,The Office,,,,
TVmaze,2007-02-22,The Office,Cocktails,"David Wallace hosts a party at his host which Michael, Jan, Dwight, Jim and Karen attend; The rest of the office staff go out for Happy Hour.",https://www.tvmaze.com/episodes/47685/the-office-3x18-cocktails,The Office,,,,
TVmaze,2007-04-05,The Office,The Negotiation,Dwight saves Jim when Roy shows up at the office planning to hit him for kissing Pam; Darryl asks Michael for a raise which leads to Michael asking for a raise from Jan.,https://www.tvmaze.com/episodes/47686/the-office-3x19-the-negotiation,The Office,,,,
TVmaze,2007-04-12,The Office,Safety Training,The office staff undergoes safety training; Andy returns from anger management training.,https://www.tvmaze.com/episodes/47687/the-office-3x20-safety-training,The Office,,,,
TVmaze,2007-04-26,The Office,Product Recall,The office staff deal with a breach in quality control when an obscene water mark ends up their paper. ,https://www.tvmaze.com/episodes/47688/the-office-3x21-product-recall,The Office,,,,
TVmaze,2007-05-03,The Office,Women's Appreciation,"After Phyllis is flashed in the parking lot, Michael arranges a women's appreciation day.",https://www.tvmaze.com/episodes/47689/the-office-3x22-womens-appreciation,The Office,,,,
TVmaze,2007-05-10,The Office,Beach Games,The office attends beach day which Michael uses to try and determine who would replace him if he gets a job at corporate. ,https://www.tvmaze.com/episodes/47690/the-office-3x23-beach-games,The Office,,,,
TVmaze,2007-05-17,The Office,The Job (1),"Michael, Jim and Karen interview for a job at corporate; Michael appoints Dwight as regional manager.",https://www.tvmaze.com/episodes/47691/the-office-3x24-the-job-1,The Office,,,,
TVmaze,2007-05-17,The Office,The Job (2),"Michael, Jim and Karen interview for a job at corporate; Michael appoints Dwight as regional manager.",https://www.tvmaze.com/episodes/47692/the-office-3x25-the-job-2,The Office,,,,
TVmaze,2007-09-27,The Office,Fun Run (1),Michael accidentally runs over Meredith in the parking lot which results in Michael arranging a 5K fun run for her.,https://www.tvmaze.com/episodes/47693/the-office-4x01-fun-run-1,The Office,,,,
