keyword,latest_value,momentum,last_date,trend_direction
AI,100.0,12.333333333333329,2025-12-01 05:00:00,up
Bitcoin,15.0,3.333333333333334,2025-12-01 05:00:00,up
Climate Change,1.0,0.0,2025-12-01 05:00:00,flat
